delta,EKF,UKF,CKF
0.1,0.00024393236921678996,0.0002439323740893466,0.0002439323740893466
0.2,0.0002585078955859415,0.00025850790074964474,0.0002585079007496448
0.3,0.00022673091369660906,0.00022673091822556605,0.0002267309182255661
0.4,0.00023829141661065503,0.00023829142137053345,0.0002382914213705335
0.5,0.00022008220586038847,0.0002200822102565373,0.0002200822102565373
0.6,0.00022166755848550095,0.00022166756291331727,0.00022166756291331727
0.7,0.00024736338643257855,0.00024736339137366986,0.0002473633913736699
0.8,0.0002139190689277563,0.0002139190732007963,0.00021391907320079633
0.9,0.00018134830247544078,0.00018134830609787875,0.00018134830609787875
1.0,0.0002290227880800392,0.00022902279265477648,0.00022902279265477656
